Topic_ID,Keywords
0,"0.013*""political"" + 0.007*""british"" + 0.006*""election"" + 0.006*""military"" + 0.006*""violence"" + 0.005*""northern_ireland"" + 0.005*""india"" + 0.005*""army"" + 0.005*""guerrilla"" + 0.004*""opposition"""
1,"0.004*""war"" + 0.004*""french"" + 0.003*""church"" + 0.003*""communist"" + 0.003*""black"" + 0.003*""south"" + 0.003*""army"" + 0.002*""direct"" + 0.002*""white"" + 0.002*""force"""
2,"0.014*""french"" + 0.011*""france"" + 0.011*""british"" + 0.011*""britain"" + 0.010*""libya"" + 0.010*""terrorism"" + 0.008*""european"" + 0.007*""london"" + 0.007*""europe"" + 0.006*""italian"""
3,"0.010*""agency"" + 0.010*""security"" + 0.008*""intelligence"" + 0.006*""plan"" + 0.005*""threat"" + 0.005*""attack"" + 0.004*""federal"" + 0.004*""commission"" + 0.004*""program"" + 0.004*""system"""
4,"0.022*""bush"" + 0.010*""vote"" + 0.009*""campaign"" + 0.008*""election"" + 0.008*""white_house"" + 0.008*""republican"" + 0.007*""iraq"" + 0.006*""war"" + 0.006*""congress"" + 0.006*""democrats"""
5,"0.008*""war"" + 0.006*""right"" + 0.005*""soviet"" + 0.005*""political"" + 0.004*""russia"" + 0.004*""mean"" + 0.004*""policy"" + 0.004*""peace"" + 0.004*""america"" + 0.004*""problem"""
6,"0.010*""judge"" + 0.010*""trial"" + 0.009*""lawyer"" + 0.008*""suspect"" + 0.007*""investigation"" + 0.006*""prosecutor"" + 0.006*""authority"" + 0.006*""release"" + 0.005*""prison"" + 0.005*""evidence"""
7,"0.047*""israel"" + 0.031*""israeli"" + 0.020*""palestinian"" + 0.018*""arab"" + 0.013*""palestinians"" + 0.010*""israelis"" + 0.010*""lebanon"" + 0.007*""hamas"" + 0.006*""syria"" + 0.006*""egypt"""
8,"0.005*""school"" + 0.004*""child"" + 0.004*""home"" + 0.003*""student"" + 0.003*""help"" + 0.003*""job"" + 0.003*""business"" + 0.003*""center"" + 0.002*""street"" + 0.002*""friend"""
9,"0.022*""kill"" + 0.017*""attack"" + 0.010*""bomb"" + 0.007*""fire"" + 0.007*""soldier"" + 0.006*""army"" + 0.006*""bombing"" + 0.005*""shoot"" + 0.005*""car"" + 0.005*""night"""
10,"0.021*""iraq"" + 0.020*""military"" + 0.013*""force"" + 0.011*""war"" + 0.011*""afghanistan"" + 0.010*""iraqi"" + 0.010*""attack"" + 0.010*""pakistan"" + 0.009*""troop"" + 0.006*""taliban"""
11,"0.010*""iran"" + 0.006*""china"" + 0.005*""program"" + 0.005*""increase"" + 0.005*""washington"" + 0.004*""aid"" + 0.004*""plan"" + 0.004*""economic"" + 0.004*""military"" + 0.003*""weapon"""
