Transition,Period_From,Period_To,Target_Word,Cosine_Displacement,Shared_Vocab_Size
1851-1900 -> 1901-1930,1851-1900,1901-1930,terrorism,0.4649,5934
1851-1900 -> 1901-1930,1851-1900,1901-1930,terrorist,0.0719,5934
1901-1930 -> 1931-1950,1901-1930,1931-1950,terrorism,0.3668,7102
1901-1930 -> 1931-1950,1901-1930,1931-1950,terrorist,0.1633,7102
1931-1950 -> 1951-1960,1931-1950,1951-1960,terrorism,0.4748,5397
1931-1950 -> 1951-1960,1931-1950,1951-1960,terrorist,0.1378,5397
1951-1960 -> 1961-1980,1951-1960,1961-1980,terrorism,0.4951,5922
1951-1960 -> 1961-1980,1951-1960,1961-1980,terrorist,0.2498,5922
1961-1980 -> 1981-20010910,1961-1980,1981-20010910,terrorism,0.6189,24659
1961-1980 -> 1981-20010910,1961-1980,1981-20010910,terrorist,0.156,24659
1981-20010910 -> 20010911-2019,1981-20010910,20010911-2019,terrorism,0.3219,54346
1981-20010910 -> 20010911-2019,1981-20010910,20010911-2019,terrorist,0.1393,54346
